district,is_incumbent,name,party,percent,state,votes,won,year,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_party,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,last_house_majority,fundraising
District 4,0.0,Wallace A. Leach,D,31.8,California,12109,0,1878,0,0.0,0.0,1.0,R,0.530071428571428,157.0,136.0,D,1056491.225
District 2,1.0,Horace F. Page ,R,51.9,California,19386,1,1878,2,0.0,0.0,1.0,R,0.5282318840579705,157.0,136.0,D,622395.8749999999
District 2,0.0,Thomas J. Clunie,D,34.4,California,12847,0,1878,0,0.0,0.0,1.0,R,0.5282318840579706,157.0,136.0,D,622395.8749999999
District 3,0.0,George A. Knight,R,48.2,California,20494,0,1880,0,0.0,1.0,1.0,R,0.4667777777777777,148.0,132.0,D,1179065.4766666668
District 1,1.0,William Heilman,R,49.4,Indiana,17719,1,1880,1,0.0,1.0,1.0,R,0.5256666666666662,148.0,132.0,D,552917.8374999998
District 1,1.0,Horace Davis ,R,47.3,California,19496,0,1880,1,0.0,1.0,1.0,R,0.5297887323943659,148.0,132.0,D,601890.715
District 4,0.0,Wallace A. Leach,D,45.3,California,17577,0,1880,0,0.0,1.0,1.0,R,0.5300714285714279,148.0,132.0,D,1056491.2249999999
District 1,0.0,William Rosecrans,D,51.0,California,21005,1,1880,0,0.0,1.0,1.0,R,0.5297887323943659,148.0,132.0,D,601890.715
District 1,0.0,John Kleiner,D,48.6,Indiana,17420,0,1880,0,0.0,1.0,1.0,R,0.5256666666666662,148.0,132.0,D,552917.8374999998
District 4,1.0,Romualdo Pacheco ,R,45.8,California,17768,1,1880,0,0.0,1.0,1.0,R,0.5300714285714279,148.0,132.0,D,1056491.2249999999
District 2,1.0,Horace F. Page ,R,53.6,California,22038,1,1880,3,0.0,1.0,1.0,R,0.5282318840579705,148.0,132.0,D,622395.8749999999
District 2,0.0,John R. Glasscock,D,45.9,California,18859,0,1880,0,0.0,1.0,1.0,R,0.5282318840579706,148.0,132.0,D,622395.8749999999
District 3,1.0,Campbell Polson Berry ,D,51.1,California,21743,1,1880,0,0.0,1.0,1.0,R,0.46677777777777774,148.0,132.0,D,1179065.4766666668
District 2,0.0,James Budd,D,50.5,California,20229,1,1882,0,0.0,0.0,1.0,R,0.5282318840579706,131.0,151.0,R,622395.8749999999
District 2,1.0,Horace F. Page ,R,48.1,California,19246,0,1882,4,0.0,0.0,1.0,R,0.5282318840579706,131.0,151.0,R,622395.875
District 4,0.0,Pleasant B. Tully,D,54.4,California,23105,1,1882,0,0.0,0.0,1.0,R,0.5300714285714279,131.0,151.0,R,1056491.2249999999
District 3,0.0,Barclay Henley,D,51.3,California,21807,1,1882,0,0.0,0.0,1.0,R,0.4667777777777777,131.0,151.0,R,1179065.4766666668
District 4,0.0,George Lemuel Woods,R,43.3,California,18387,0,1882,0,0.0,0.0,1.0,R,0.5300714285714279,131.0,151.0,R,1056491.2249999999
District 3,0.0,John J. DeHaven,R,45.8,California,19473,0,1882,0,0.0,0.0,1.0,R,0.4667777777777777,131.0,151.0,R,1179065.4766666668
District 1,1.0,William Heilman,R,46.9,Indiana,16399,0,1882,2,0.0,0.0,1.0,R,0.5256666666666663,131.0,151.0,R,552917.8374999997
District 1,1.0,William Rosecrans ,D,59.5,California,22733,1,1882,0,0.0,0.0,1.0,R,0.5297887323943659,131.0,151.0,R,601890.715
District 1,0.0,Paul Neumann,R,38.8,California,14847,0,1882,0,0.0,0.0,1.0,R,0.5297887323943659,131.0,151.0,R,601890.715
District 1,0.0,John Kleiner,D,51.6,Indiana,18048,1,1882,0,0.0,0.0,1.0,R,0.5256666666666663,131.0,151.0,R,552917.8374999997
District 4,0.0,William W. Morrow,R,58.8,California,15083,1,1884,0,0.0,1.0,1.0,D,0.530071428571428,199.0,118.0,D,1056491.225
District 3,0.0,Joseph McKenna,R,55.8,California,17435,1,1884,0,0.0,1.0,1.0,D,0.4667777777777776,199.0,118.0,D,1179065.4766666668
District 3,1.0,John R. Glascock ,D,42.3,California,13197,0,1884,0,0.0,1.0,1.0,D,0.4667777777777776,199.0,118.0,D,1179065.4766666668
District 1,0.0,William H. Gudgel,R,47.8,Indiana,18493,0,1884,0,0.0,1.0,1.0,D,0.5256666666666663,199.0,118.0,D,552917.8374999997
District 1,0.0,John J. Kleiner,D,51.5,Indiana,19930,1,1884,0,0.0,1.0,1.0,D,0.5256666666666663,199.0,118.0,D,552917.8374999997
District 6,0.0,Henry Markham,R,49.1,California,17397,1,1884,0,0.0,1.0,1.0,D,0.5327999999999996,199.0,118.0,D,501131.53800000006
District 6,0.0,R. A. Del Valle,D,47.9,California,16990,0,1884,0,0.0,1.0,1.0,D,0.5327999999999995,199.0,118.0,D,501131.53800000006
District 2,0.0,Charles Allen Sumner,D,49.1,California,18208,0,1884,0,0.0,1.0,1.0,D,0.5282318840579707,199.0,118.0,D,622395.875
District 1,0.0,Barclay Henley,D,49.7,California,16461,1,1884,0,0.0,1.0,1.0,D,0.5297887323943659,199.0,118.0,D,601890.715
District 1,0.0,Thomas L. Carothers,R,49.3,California,16316,0,1884,0,0.0,1.0,1.0,D,0.5297887323943659,199.0,118.0,D,601890.7149999999
District 5,0.0,Frank J. Sullivan,D,47.6,California,15676,0,1884,0,0.0,1.0,1.0,D,0.5280952380952381,199.0,118.0,D,1013831.9962500001
District 5,0.0,Charles N. Felton,R,51.7,California,17014,1,1884,0,0.0,1.0,1.0,D,0.5280952380952381,199.0,118.0,D,1013831.9962500001
District 4,0.0,R. P. Hastings,D,40.6,California,10422,0,1884,0,0.0,1.0,1.0,D,0.530071428571428,199.0,118.0,D,1056491.225
District 2,0.0,James A. Louttit,R,49.4,California,18327,1,1884,0,0.0,1.0,1.0,D,0.5282318840579706,199.0,118.0,D,622395.8749999999
District 5,1.0,Charles N. Felton ,R,48.8,California,16328,1,1886,0,0.0,0.0,1.0,D,0.5280952380952378,183.0,141.0,D,1013831.9962500001
District 4,0.0,Frank McCoppin,D,42.0,California,9854,0,1886,0,0.0,0.0,1.0,D,0.5300714285714281,183.0,141.0,D,1056491.2249999999
District 4,1.0,William W. Morrow  ,R,48.6,California,11413,1,1886,0,0.0,0.0,1.0,D,0.5300714285714281,183.0,141.0,D,1056491.2249999999
District 5,0.0,Frank J. Sullivan,D,48.4,California,16209,0,1886,0,0.0,0.0,1.0,D,0.528095238095238,183.0,141.0,D,1013831.99625
District 6,0.0,Joseph D. Lynch,D,47.1,California,18204,0,1886,0,0.0,0.0,1.0,D,0.5327999999999995,183.0,141.0,D,501131.538
District 1,0.0,J. E. McCullough,D,45.4,Indiana,16901,0,1886,0,0.0,0.0,1.0,D,0.5256666666666663,183.0,141.0,D,552917.8374999997
District 6,0.0,William Vandever,R,47.3,California,18259,1,1886,0,0.0,0.0,1.0,D,0.5327999999999995,183.0,141.0,D,501131.53800000006
District 3,1.0,Joseph McKenna ,R,53.0,California,15801,1,1886,0,0.0,0.0,1.0,D,0.46677777777777757,183.0,141.0,D,1179065.4766666668
District 2,0.0,Marion Biggs,D,50.0,California,17667,1,1886,0,0.0,0.0,1.0,D,0.5282318840579706,183.0,141.0,D,622395.8749999999
District 3,0.0,Henry C. McPike,D,44.5,California,13277,0,1886,0,0.0,0.0,1.0,D,0.46677777777777757,183.0,141.0,D,1179065.4766666666
District 1,0.0,Alvin P. Hovey,R,49.0,Indiana,18258,1,1886,0,0.0,0.0,1.0,D,0.5256666666666663,183.0,141.0,D,552917.8374999996
District 1,0.0,Charles A. Garter,R,47.1,California,15526,0,1886,0,0.0,0.0,1.0,D,0.5297887323943659,183.0,141.0,D,601890.7149999999
District 1,0.0,Thomas Larkin Thompson,D,50.1,California,16499,1,1886,0,0.0,0.0,1.0,D,0.5297887323943659,183.0,141.0,D,601890.7149999999
District 2,0.0,J. C. Campbell,R,47.0,California,16594,0,1886,0,0.0,0.0,1.0,D,0.5282318840579706,183.0,141.0,D,622395.8749999999
District 2,0.0,John A. Eagon,R,46.6,California,17541,0,1888,0,0.0,1.0,1.0,R,0.5282318840579706,167.0,154.0,D,622395.8749999999
District 2,1.0,Marion Biggs ,D,50.6,California,19064,1,1888,0,0.0,1.0,1.0,R,0.5282318840579706,167.0,154.0,D,622395.8749999999
District 5,0.0,Timothy Guy Phelps,R,49.2,California,20225,0,1888,0,0.0,1.0,1.0,R,0.5280952380952377,167.0,154.0,D,1013831.99625
District 5,0.0,Thomas J. Clunie,D,49.3,California,20276,1,1888,0,0.0,1.0,1.0,R,0.5280952380952377,167.0,154.0,D,1013831.99625
District 3,1.0,Joseph McKenna ,R,56.0,California,19912,1,1888,1,0.0,1.0,1.0,R,0.46677777777777757,167.0,154.0,D,1179065.4766666666
District 1,0.0,William F. Parrett,D,49.3,Indiana,20647,1,1888,0,0.0,1.0,1.0,R,0.5256666666666663,167.0,154.0,D,552917.8374999996
District 4,1.0,William W. Morrow  ,R,50.8,California,14217,1,1888,1,0.0,1.0,1.0,R,0.5300714285714282,167.0,154.0,D,1056491.2249999999
District 1,0.0,Frank B. Posey,R,49.3,Indiana,20627,0,1888,0,0.0,1.0,1.0,R,0.5256666666666664,167.0,154.0,D,552917.8374999996
District 1,0.0,John J. De Haven,R,49.9,California,19345,1,1888,0,0.0,1.0,1.0,R,0.5297887323943659,167.0,154.0,D,601890.7149999999
