request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AR&y=2018&c-t-p=3,s,AR,AR,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2009&c-t-p=3,s,CA,CA,y,2009,2009,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2011&c-t-p=5,s,CA,CA,y,2011,2011,c-t-p,5,Unknown,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2017&c-t-p=2,s,CA,CA,y,2017,2017,c-t-p,2,Republican,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CO&y=2016&c-t-p=3,s,CO,CO,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CT&y=2014&c-t-p=3,s,CT,CT,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CT&y=2016&c-t-p=3,s,CT,CT,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CT&y=2018&c-t-p=2,s,CT,CT,y,2018,2018,c-t-p,2,Republican,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=DE&y=2012&c-t-p=3,s,DE,DE,y,2012,2012,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=DE&y=2014&c-t-p=3,s,DE,DE,y,2014,2014,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=DE&y=2016&c-t-p=3,s,DE,DE,y,2016,2016,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2018&c-t-p=3,s,GA,GA,y,2018,2018,c-t-p,3,Third-Party,0,0.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=HI&y=2010&c-t-p=3,s,HI,HI,y,2010,2010,c-t-p,3,Third-Party,0,0.00
